SP ID,Work Experience/Designation,Education/Qualifications,Education/Specialization
597920.0,"['Senior Medical Officer - Incharge of Medical Department', 'Medical Officer', 'Senior Medical Officer', 'Chief Medical Officer', 'Medical Officer', 'Medical Officer']","['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)', 'Other', 'Other']","['Medicine and Surgery', 'AFIH', 'CCIM']"
597857.0,"['HR Associate', 'HR Recruiter & Business Development Executive']",['Master of Business Administration (M.B.A.)'],['HR']
597734.0,['NA'],['Bachelor of Engineering (B.E.)'],['computer science']
597644.0,['Medical Officer'],"['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)', 'Postgraduate']","['NA', 'Internal medicine']"
597497.0,"['Senior Associate (Travel)', 'Senior Executive (Travel)']",['Bachelor - Other'],['Travel & Tourism']
597353.0,"['Assistant Manager', 'Engineer', 'Trainee engineer']",['Bachelor of Engineering (B.E.)'],['Mechanical']
597265.0,"['Consultant', 'Senior Associate']",['Master of Business Administration (M.B.A.)'],['Business Design & Innovation']
597246.0,['NA'],['Bachelor of Arts (B.A.)'],['NA']
597242.0,"['Customer Relationship Manager', 'Assistant Relationship manager', 'Asst. Manager - Western Region', 'Asst. Manager- Marketing', 'Financial Service Manager', 'Response Executive']",['Master of Business Administration (M.B.A.)'],['Marketing']
597190.0,['NA'],['NA'],['NA']
597058.0,['Windsurfing instructor'],['NA'],['NA']
596909.0,['Mbbs Intern'],['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)'],['Mbbs graduate']
596879.0,['Copywriter'],"['Postgraduate', 'Bachelor of Commerce (B.Com)']","['Finance', 'Accounting and Business Studies']"
596771.0,"['Senior Advisor', 'senior Analyst', 'Information processing Specialist', 'Customer Service Associate']","['Postgraduate', 'Master of Commerce (M.Com)']","['Finance', 'Business Management']"
596768.0,['Security guard'],['NA'],['NA']
596696.0,"['Cost and Planning', 'Cost Controller']",['Bachelor of Commerce (B.Com)'],['Finance']
596690.0,['Proprietor'],['Bachelor of Design (B.Des)'],['Wooden products']
596592.0,['Merchandise'],['HSC/12'],['BA']
596549.0,"['Inspection', 'Customer service Representative', 'Inspection']","['Diploma', 'Bachelor of Engineering (B.E.)', 'Master of Design (M. Des)']","['Applied Mechanical Design', 'Mechanical', 'Practical elements in mechanical engineering']"
596477.0,"['Automation Test Engineer', 'Quality Engineer']",['Bachelor of Engineering (B.E.)'],['Mechanical Engineering']
596473.0,['NA'],['NA'],['NA']
596470.0,['R&D Software Engineer'],['Bachelor of Technology (B.Tech)'],['Information Technology']
596346.0,['Customer Service Representative'],['Bachelor of Arts (B.A.)'],['Literature']
596324.0,['NA'],['HSC/12'],['Computer science']
596255.0,['NA'],['Bachelor of Computer Application (B.C.A.)'],['NA']
596193.0,"['Equipment Operator', 'Equipment operator']",['NA'],['NA']
596173.0,['NA'],['NA'],['NA']
596156.0,"['Cloud Migration Specialist', 'Cloud Engineer']",['Bachelor of Technology (B.Tech)'],['Electronics and Communication']
596154.0,['NA'],['Master of Dental Science (M.D.S.)'],['Conservative dentistry and endodontist']
596086.0,['NA'],['Bachelor of Engineering (B.E.)'],['Computer']
596046.0,['NA'],['Bachelor of Arts (B.A.)'],['Psychology']
596012.0,['SME'],['NA'],['NA']
595997.0,"['lecturer', 'design engineer']",['Bachelor of Technology (B.Tech)'],['civil']
595979.0,['NA'],['Bachelor of Architecture (B.Arch)'],['NA']
595965.0,['NA'],['Bachelor of Commerce (B.Com)'],['NA']
595804.0,['HR assistant'],['HSC/12'],['NA']
595639.0,['NA'],['Bachelor - Other'],['Financial Markets']
595543.0,"['Project Accounting Manager', 'Project Services Accountant']",['Master of Commerce (M.Com)'],['Costing']
595474.0,"['Associate Analyst', 'Junior Analyst']",['Bachelor of Arts (B.A.)'],['Journalism and Mass Communication']
595303.0,['NA'],['NA'],['NA']
595285.0,['Winemaker'],['Other'],['Agricolture']
595059.0,['Assistant'],['Master of Law (M.L. / LLM)'],['Criminal']
595044.0,"['Sales executive employed', 'Sales executive employed']",['Other'],['maths']
594913.0,"['Full stack developer', 'Full stack developer']",['Bachelor of Engineering (B.E.)'],['Full stack developer']
594734.0,"['Software Engineering Manager', 'Software Engineer']",['Master of Engineering (M.E.)'],['Computer Networks']
594717.0,"['Receptionist', 'psychology and communication', 'Volunteer', 'Different Jobs']",['NA'],['NA']
594617.0,['NA'],['Master of Science (M.Sc)'],['Biochemistry']
594612.0,"['Room manager', ""Assistant maître d'hôtel , room manager , qualified serveur""]",['NA'],['NA']
594443.0,"['Accoutant', 'Marketing']",['Bachelor of Arts (B.A.)'],['Arts']
594423.0,"['Staff Software Engineer', 'Staff Software Engineer']",['NA'],['NA']
594386.0,['NA'],['Master of Computer Application (M.C.A.)'],['Computer applications']
594383.0,"['Asset Management Expert - RAM', 'Senior Expert - RAMS', 'Deputy Manager - RAMS', 'Senior Reliability Engineer']",['Master of Technology (M.Tech)'],['Reliability Engineering']
594279.0,['NA'],['Bachelor of Technology (B.Tech)'],['Civil Engineering']
594257.0,"['Junior associate', 'Account assistant']",['Master of Commerce (M.Com)'],['Accounts and taxation']
594226.0,"['Plant Manager', 'Division Head Operations', 'DGM operations']","['Master of Business Administration (M.B.A.)', 'Bachelor of Engineering (B.E.)']","['Operations', 'Electrical']"
594224.0,"['Account Data Analyst', 'Director']",['Postgraduate'],['Business administration']
594191.0,['Typist'],['Bachelor of Arts (B.A.)'],['NA']
594186.0,"['Astrologer', 'Astrologer']","['Master of Arts (M.A.)', 'Bachelor of Arts (B.A.)']","['English literature', 'English literature']"
594182.0,['NA'],['Bachelor of Engineering (B.E.)'],['Electronics and communications engineering']
594156.0,['NA'],['Bachelor of Commerce (B.Com)'],['NA']
594132.0,"['Product Manager', 'Knowledge Manager', 'Senior social media executive']","['Master of Business Administration (M.B.A.)', 'Master of Arts (M.A.)']","['NA', 'Journalism']"
594055.0,"['VP', 'Programmer analyst']",['NA'],['NA']
593971.0,['President'],"['Master of Business Administration (M.B.A.)', 'Master of Arts (M.A.)']","['HR', 'Psychology']"
593450.0,['NA'],['Other'],['NA']
593402.0,['NA'],"['Master of Business Administration (M.B.A.)', 'Bachelor of Commerce (B.Com)']","['Finance', 'Business & Japanese']"
593257.0,"['Senior Specialist', 'Electronics Hardware Developer']",['Bachelor of Technology (B.Tech)'],['ECE']
593154.0,"['Pharmacist', 'Pharmacist']",['Diploma'],['Diploma in pharmacy']
593152.0,"['Attorney at Law', 'Attorney at Law']",['Master of Law (M.L. / LLM)'],['Intellectual Property Law']
593123.0,['NA'],['Master of Science (M.Sc)'],['Mathematics']
593121.0,['NA'],['Master of Business Administration (M.B.A.)'],['international transports and logistics']
593037.0,['NA'],['Bachelor of Arts (B.A.)'],['Hindi']
593002.0,['NA'],['Bachelor of Science (B.Sc)'],['Agriculture']
592667.0,['Founder'],['HSC/12'],['Commerce']
592613.0,"['Product Manager', 'LEAD SDET', 'Associate Developer']","['Bachelor of Engineering (B.E.)', 'Master - Other']","['Information Technology', 'Software Systems']"
592612.0,['Software Development Engineer'],['Bachelor - Other'],['Electronics and communication']
592553.0,"['Co-owner / product design and manufacture', 'Rigger, leading hand/supervisor', 'Chef']",['Diploma'],"['Cert 4 hospitality, chef']"
592550.0,"['Solutions Manager', 'Lead Consultant', 'Principal Consultant', 'Consultant', 'Analyst']","['Master of Business Administration (M.B.A.)', 'Bachelor of Engineering (B.E.)']","['Marketing & Operations', 'Electrical']"
592322.0,['NA'],['Master of Business Administration (M.B.A.)'],['Financial Marketing']
592246.0,['NA'],['Undergraduate'],['Arts and humanities']
592190.0,"['Trainee', 'Technician']",['Master of Science (M.Sc)'],['Aquaculture']
